uid,left_actor_id,left_actor_name,<->,right_actor_id,right_actor_name,weight
nm2360691__nm4177923,nm2360691,Kendra North,<->,nm4177923,Moses Efret,1
nm2360691__nm6662415,nm2360691,Kendra North,<->,nm6662415,Best Davis,1
nm2360691__nm9961311,nm2360691,Kendra North,<->,nm9961311,Prince Eke,1
nm2360691__nm9961312,nm2360691,Kendra North,<->,nm9961312,Syr Law,1
nm2360691__nm9961313,nm2360691,Kendra North,<->,nm9961313,Tina Taylor,1
nm2121456__nm9961311,nm2121456,Oge Okoye,<->,nm9961311,Prince Eke,1
nm4177923__nm9961311,nm4177923,Moses Efret,<->,nm9961311,Prince Eke,1
nm6662415__nm9961311,nm6662415,Best Davis,<->,nm9961311,Prince Eke,1
nm9961311__nm9961312,nm9961311,Prince Eke,<->,nm9961312,Syr Law,1
nm9961311__nm9961313,nm9961311,Prince Eke,<->,nm9961313,Tina Taylor,1
nm2121456__nm9961312,nm2121456,Oge Okoye,<->,nm9961312,Syr Law,1
nm4177923__nm9961312,nm4177923,Moses Efret,<->,nm9961312,Syr Law,1
nm6662415__nm9961312,nm6662415,Best Davis,<->,nm9961312,Syr Law,1
nm9961312__nm9961313,nm9961312,Syr Law,<->,nm9961313,Tina Taylor,1
nm2121456__nm4177923,nm2121456,Oge Okoye,<->,nm4177923,Moses Efret,1
nm4177923__nm6662415,nm4177923,Moses Efret,<->,nm6662415,Best Davis,1
nm4177923__nm9961313,nm4177923,Moses Efret,<->,nm9961313,Tina Taylor,1
nm2121456__nm6662415,nm2121456,Oge Okoye,<->,nm6662415,Best Davis,1
nm2121456__nm9961313,nm2121456,Oge Okoye,<->,nm9961313,Tina Taylor,1
nm6662415__nm9961313,nm6662415,Best Davis,<->,nm9961313,Tina Taylor,1
nm3488006__nm6767631,nm3488006,Jade Willey,<->,nm6767631,John Enick,1
nm10006671__nm8464903,nm10006671,Denis Vikhliantsev,<->,nm8464903,Gwendoline Hornig,1
nm11188079__nm8464903,nm11188079,David Hines,<->,nm8464903,Gwendoline Hornig,1
nm6241736__nm8464903,nm6241736,Lisa Finnie,<->,nm8464903,Gwendoline Hornig,1
nm8333553__nm8464903,nm8333553,Amaru Davis,<->,nm8464903,Gwendoline Hornig,1
nm8464903__nm9847969,nm8464903,Gwendoline Hornig,<->,nm9847969,Sai Kiran Rangu,1
nm8464903__nm9983855,nm8464903,Gwendoline Hornig,<->,nm9983855,Hector Melgoza,1
nm10006671__nm9983855,nm10006671,Denis Vikhliantsev,<->,nm9983855,Hector Melgoza,1
nm11188079__nm9983855,nm11188079,David Hines,<->,nm9983855,Hector Melgoza,1
nm6241736__nm9983855,nm6241736,Lisa Finnie,<->,nm9983855,Hector Melgoza,1
nm8333553__nm9983855,nm8333553,Amaru Davis,<->,nm9983855,Hector Melgoza,1
nm9847969__nm9983855,nm9847969,Sai Kiran Rangu,<->,nm9983855,Hector Melgoza,1
nm10006671__nm11188079,nm10006671,Denis Vikhliantsev,<->,nm11188079,David Hines,1
nm10006671__nm6241736,nm10006671,Denis Vikhliantsev,<->,nm6241736,Lisa Finnie,1
nm10006671__nm8333553,nm10006671,Denis Vikhliantsev,<->,nm8333553,Amaru Davis,1
nm10006671__nm9847969,nm10006671,Denis Vikhliantsev,<->,nm9847969,Sai Kiran Rangu,1
nm11188079__nm6241736,nm11188079,David Hines,<->,nm6241736,Lisa Finnie,1
nm6241736__nm8333553,nm6241736,Lisa Finnie,<->,nm8333553,Amaru Davis,1
nm6241736__nm9847969,nm6241736,Lisa Finnie,<->,nm9847969,Sai Kiran Rangu,1
