actor_id,actor_name
nm0001780,Peter Stormare
nm1035682,Derek Luke
nm0117146,Joy Bryant
nm1287636,Malcolm David Kelley
nm0451148,Aamir Khan
nm0944834,Raghuvir Yadav
nm0961737,Gracy Singh
nm0791226,Rachel Shelley
nm0911725,Megan Ward
nm0591703,Kristin Minter
nm0001652,John Ratzenberger
nm0000120,Jim Carrey
nm0597410,Taylor Momsen
nm3679189,Kelley
nm0001787,Jeffrey Tambor
nm0000678,Kathleen Turner
nm0000732,Danny Aiello
nm0001550,Cathy Moriarty
nm0621992,Frankie Nasso
nm0268199,Colin Farrell
nm0205127,Matthew Davis
nm0004286,Clifton Collins Jr.
nm0347509,Tom Guiry
nm0000553,Liam Neeson
nm0000113,Sandra Bullock
nm0001624,Oliver Platt
nm0959242,José Zúñiga
nm0001492,Kyle MacLachlan
nm0001731,Sam Shepard
nm0001774,Ben Stiller
nm0001570,Edward Norton
nm0001184,Jenna Elfman
nm0001674,Chris Rock
nm0001427,Greg Kinnear
nm0005517,Gabrielle Union
nm0003244,Jordi Mollà
nm0001796,Richard Thomas
nm0566572,Maureen McCormick
nm0001367,C. Thomas Howell
nm0000397,Corey Feldman
nm0000128,Russell Crowe
nm0001567,Connie Nielsen
nm0001657,Oliver Reed
nm0001804,Stanley Tucci
nm0204706,Hope Davis
nm0405103,Sarah Hyland
nm0001718,Kyra Sedgwick
nm0001555,Rob Morrow
nm0005375,Lela Rochon
nm0001546,Mary Tyler Moore
nm0000429,Melanie Griffith
nm0001151,Stephen Dorff
nm0001860,Alicia Witt
nm0004978,Adrian Grenier
nm0000285,Alec Baldwin
nm0001840,Ming-Na Wen
nm0001605,Amanda Peet
nm0887144,Brian Van Holt
nm0009017,Jonathan Abrahams
nm0053474,Zorie Barber
nm0000152,Richard Gere
nm0001439,Anthony LaPaglia
nm0267506,Anna Faris
nm0009016,Jon Abrahams
nm0005541,Marlon Wayans
nm0001182,Carmen Electra
nm0005261,Brittany Murphy
nm0001542,Jay Mohr
nm0000616,Eric Roberts
nm0000615,John Ritter
nm0005035,Rachel Hunter
nm0539679,Tyler Cole Malinger
nm0199939,Gary Daniels
nm0635869,Mike Norris
nm0593841,Bentley Mitchum
nm0722636,John Rhys-Davies
nm0005342,Norman Reedus
nm0005028,Kate Hudson
nm0256263,Todd Emerson
nm0000502,Christopher Lloyd
nm0287702,Blake Foster
nm0701030,Michael Purvis
nm0907708,Eamonn Walker
